image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Aamna_Sharif_in_2018.jpg/220px-Aamna_Sharif_in_2018.jpg,,"Aamna Sharif, (born 16 July 1982) is an Indian actress known for portraying Kashish Sinha in Kahiin to Hoga and Komolika Basu /Sonalika in Kasautii Zindagii Kay.",Aamna Sharif
No Images Found,,Aditi Sarangdhar  is a Marathi actress. She worked in many Marathi movies and series. She is famous for the role of Saloni Deshmukh in TV serial Lakshya (Star Pravah).,Aditi Sarangdhar
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/29px-India_film_clapperboard_%28variant%29.svg.png,,Aishwarya Arjun is an Indian film actress. She made her film debut in the Tamil film Pattathu Yaanai in 2013.,Aishwarya Arjun
http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Crystal_Clear_app_kedit.svg/40px-Crystal_Clear_app_kedit.svg.png,,"Adah Sharma is an Indian film actress who mainly appears in Hindi, Telugu and Tamil language films. Sharma, after finishing her schooling, made her acting debut with a leading role in the 2008 Hindi language horror film 1920, a box office success. Her portrayal of a possessed woman in the film was critically praised and earned her the Filmfare Award for Best Female Debut nomination. After the release her romantic comedy film Hasee Toh Phasee (2014), she ventured into the South Indian film industries, where her first six films—five in Telugu language—the romantic thriller Heart Attack (2014), the drama S/O Satyamurthy (2015), the action comedy Subramanyam for Sale (2015), the romance Garam (2016) and the thriller Kshanam (2016) and one in Kannada— the action thriller Rana Vikrama (2015), Commando 2 (2017) and Commando 3 (2019), achieved commercial success and garnered her critical appreciation for her performances.",Adah Sharma
http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Aishwarya_Nag.jpg/220px-Aishwarya_Nag.jpg,,"Aishwarya Nag is an Indian film actress and a model, who has appeared in South Indian films, primarily in Kannada cinema. After her modelling, she made her acting debut in the film Neene Neene (2008). She rose to fame by acting in the Kannada film Jolly Days (2009) and Kal Manja (2010).",Aishwarya Nag
http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Aditi_Rao_Hydari_snapped_at_media_interactions_for_Sammohanam_%2803%29_%28cropped%29.jpg/200px-Aditi_Rao_Hydari_snapped_at_media_interactions_for_Sammohanam_%2803%29_%28cropped%29.jpg,,"Aditi Rao Hydari is an Indian actress, dancer and singer who works in Bollywood, Tamil, Malayalam and Telugu films. She made her on-screen debut with Malayalam film Prajapathi in 2006. It was Tamil film Sringaram in 2007, in which she played the role of a devadasi garnered positive reviews from critics for her performance.
Hydari rose to fame after her performance in Sudhir Mishra's 2011 romantic thriller film Yeh Saali Zindagi, a role that won her the Screen Award in the Best Supporting Actress category. She has subsequently starred in several successful Hindi films including the musical Rockstar (2011), the horror-thriller Murder 3 (2013), the action-comedy Boss (2013) and the thriller Wazir (2016). Hydari's portrayal of Queen Mehrunisa in the 2018 epic film Padmaavat was well received; the film became her biggest commercial success.",Aditi Rao Hydari
No Images Found,,"Aditi Ravi is an Indian model and actress, who appears in Malayalam films. She pursued a career in modelling before becoming an actress, debuting with a commercial for The Times of India during her college education. She made her acting debut with the 2014 film Angry Babies in Love, in a supporting role. Her first female lead role was in the 2017 film Alamara.",Aditi Ravi
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Ahaana_Krishna.jpg/220px-Ahaana_Krishna.jpg,,"Ahaana Krishna (born 13 October 1995) is an Indian film actress who appears in Malayalam films. She made her debut in Njan Steve Lopez in 2014. Her notable work include Luca, Pathinettam Padi, Njandukalude Nattil Oridavela",Ahaana Krishna
http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Aarti_Chabria_graces_Stardust_Awards_2016_%2801%29_%28cropped%29.jpg/220px-Aarti_Chabria_graces_Stardust_Awards_2016_%2801%29_%28cropped%29.jpg,,"Aarti Chabria is an Indian actress and former model who appears in Hindi, Telugu, Punjabi and Kannada films.",Aarti Chabria
http://upload.wikimedia.org/wikipedia/commons/9/97/Aishwarya_Devan_graces_the_launch_of_the_new_resto-bar_Angrezi_Patiyaala_%2810%29_%28cropped%29.jpg,,"Aishwarya Devan is an Indian film actress and Beauty queen from Kerala who has acted in Malayalam , Tamil and Kannada language films. She was crowned Femina Miss India Maharashtra 2017 and represented Maharashtra state in Femina Miss India 2017. She won various subtitles during the contest and made it to top-6 finalists. She made her Bollywood debut with the film 'Kashi - in Search of Ganga'.",Aishwarya Devan
