image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg/220px-A_K_Hangal_at_14th_Hira_Manik_Awards.jpg,,"Avtar Kishan Hangal (1 February 1914 – 26 August 2012), popularly known as A. K. Hangal, was an Indian freedom fighter from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005. His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna. He has acted in around 225 Hindi films in a career spanning from 1966 to 2005.",A. K. Hangal
http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/IBM_logo.svg/120px-IBM_logo.svg.png,,"Arvind Krishna (born 1962) is an Indian American business executive. He is the chief executive officer (CEO) of IBM. Krishna began his career at IBM as an engineer, was promoted to senior vice president in 2015, and was promoted to CEO in 2020. He led IBM's 2018 acquisition of Red Hat for $34 billion, which is the largest software company acquisition in history. On his first day as CEO, Krishna wrote to IBM staff, ""I believe we can make IBM the most trusted technology partner of the 21st century...Character is of the utmost importance.""",Arvind Krishna
http://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Arjun_mathur.jpg/220px-Arjun_mathur.jpg,,"Arjun Mathur (born 18 October 1981) is an Indian film actor working predominantly in Bollywood and in independent films. He was also seen in the British drama series, Indian Summers. He plays a lead character in a TV series, Made in Heaven.",Arjun Mathur
http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Arif_Zakaria2.jpg/220px-Arif_Zakaria2.jpg,,"Arif Zakaria is an Indian actor. He has had many roles, beginning with his debut film Darmiyaan (1997), 1947 Earth (1998), Dance Like a man (2004) and other roles, even biographical projects such as Mardana in the controversial Nanak Shah Fakir.Zakaria began acting in theatre while in college and later moved on to television and films. He has acted in numerous television serials in the last decade including Chunauti, Karambhoomi, Mrityudand, Dhund, Aarzoo, Campus, Kaali - Ek Agnipariksha, etc. He has acted in diverse roles in films like Darmiyaan, Hero, Asambhav and Dance Like a Man (English). He has also travelled the globe since 2005 with the Australian musical show Merchants of Bollywood, performing major roles in the production across Europe, China, France, Poland, Hong Kong, Singapore and Australia (the last season in Sydney in 2010).He portrayed Rustom Sethna in Deepa Mehta's Earth/1947 and Major Dhillon in Shyam Benegal's Netaji Subhas Chandra Bose: The Forgotten Hero. He also appeared in Home Delivery: Aapko... Ghar Tak, Hazaaron Khwaishein Aisi, Deewaar and the Shah Rukh Khan film My Name is Khan.In 2011, he played the ghost that haunts the female protagonist in Vikram Bhatt's Haunted and was appreciated for the ghastly portrayal of a piano teacher falling in love with his young student who gets murdered while making advances towards her and rapes her as a ghost, which forces her to commit suicide in the movie. He played the role of a police officer in  Jism 2, starring Sunny Leone. He also appeared in Krrish 3 as  Dr. Varun Shetty and in the film Lootera. Other releases of his are Dee Saturday Night, Darr At The Mall, Blue Mountain (all 2014) and Nanak Shah Fakir and Ishq Forever (both 2015). He is also acting in the play Gardish Mein Taare, directed by Saif Hyder Hasan, which is based on the life of Guru Dutt. In 2015 he Produced a children's film ""Pinti Ka Sabun"" for the Children's Film Society of India; (CFSI) this film is directed by Pramod Pathak. In 2017 he was seen in Vikram Bhatt's web series Spotlight - WebSeries as famous actor/director/producer Dev Bannerjee. Featured in the short film Aamad - written and directed by Neeraj Udhwani for the Terribly Tiny Tales web portal. He is presently shooting for Raazi, directed by Meghna Gulzar, along with Alia Bhatt and Vicky Kaushal and is also shooting for the film Ahaan, directed by first-time director Nikhil Pherwani; a tender story of a young man suffering from Down syndrome. He is slated to shoot for an English film Swords and Sceptres, a re-telling of the story of the Rani of Jhansi. Plays the role of Gaus Khan. Shooting commences from October 2017 in Jaipur.",Arif Zakaria
http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Arjun_kapoor_12.jpg/220px-Arjun_kapoor_12.jpg,,"Arjun Kapoor is an Indian actor who appears in Bollywood films. The son of film producers Boney Kapoor and Mona Shourie Kapoor, he initially worked an assistant director on his father's productions No Entry (2005) and Wanted (2009). He made his acting debut through the 2012 action romance Ishaqzaade and subsequently appeared in several successful films, including the crime drama Gunday (2014), the coming-of-age romantic comedy 2 States (2014), the English-language road comedy Finding Fanny (2014), and the satire Ki & Ka (2016).",Arjun Kapoor
http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/30px-India_film_clapperboard_%28variant%29.svg.png,,"Aravind Akash is an Indian actor and dancer who predominantly works in the South Indian film industry. He rose to fame through 2002 Malayalam film Nandanam portraying the role of Lord Krishna. He has also been a judge for a few TV shows in Malayalam and Tamil.

",Aravind Akash
http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Anurag_kashyap.jpg/220px-Anurag_kashyap.jpg,,"Anurag Kashyap (born 10 September 1972) is an Indian film director, writer, editor, producer, actor known for his works in Hindi cinema. He is the recipient of several accolades, including four Filmfare Awards. For his contributions to film, the Government of France awarded him the Ordre des Arts et des Lettres (Knight of the Order of Arts and letters) in 2013.
After writing a television serial, Kashyap got his major break as a co-writer in Ram Gopal Varma's crime drama Satya (1998), and made his directorial debut with Paanch, which never had a theatrical release due to censorship issues. He then went on to direct Black Friday (2007), a film based on the namesake book by Hussain Zaidi about the 1993 Bombay bombings. Its release was held up for two years by the Central Board of Film Certification because of the pending verdict of the case at that time, but was released in 2007 to widespread critical appreciation. Kashyap's followup, No Smoking (2007) met with negative reviews and performed poorly at the box-office. His next venture Dev.D (2009), a modern adaptation of Devdas was a critical and commercial success; followed by the political drama Gulaal (2009), and the thriller That Girl in Yellow Boots (2011).
Kashyap's prominence increased with the two-part crime drama, Gangs of Wasseypur (2012). Kashyap subsequently co-produced the critically acclaimed drama The Lunchbox, and the biographical drama Shahid (both 2013), the former earned him a BAFTA Award for Best Film Not in the English Language nomination. His next films were the anthology Bombay Talkies (2013), and the drama Ugly (2014). In 2016, Kashyap directed Raman Raghav 2.0, a film based on the serial killer Raman Raghav. His next film was the sports drama Mukkabaaz, which was released in 2018. The same year, he co-directed India's first Netflix Original series, the crime thriller Sacred Games, based on Vikram Chandra's novel of the same name and the romantic drama Manmarziyaan. He was the co-founder of two film production companies: Anurag Kashyap Films and Phantom Films.",Anurag Kashyap
image_urls,images,summary,title
http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg/220px-A_K_Hangal_at_14th_Hira_Manik_Awards.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/A_K_Hangal_at_14th_Hira_Manik_Awards.jpg/220px-A_K_Hangal_at_14th_Hira_Manik_Awards.jpg', 'path': 'full/db5a8bd5652c7106d212095774c71f6c0d204ef8.jpg', 'checksum': 'ad240894c0e791b038751538cd896a14'}]","Avtar Kishan Hangal (1 February 1914 – 26 August 2012), popularly known as A. K. Hangal, was an Indian freedom fighter from 1929–1947 and also stage actor from 1936–1965 and later became a character actor in Hindi language films from 1966 to 2005. His most notable roles are as Ram Shastri in Aaina (1977), as the Inder Sen in Shaukeen, as Bipinlal Pandey in Namak Haraam, as Imaam Saa'b in Sholay, as Anokhelal in Manzil and the antagonist in Prem Bandhan and the 16 films he did with Rajesh Khanna. He has acted in around 225 Hindi films in a career spanning from 1966 to 2005.",A. K. Hangal
http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Arjun_kapoor_12.jpg/220px-Arjun_kapoor_12.jpg,"[{'url': 'http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Arjun_kapoor_12.jpg/220px-Arjun_kapoor_12.jpg', 'path': 'full/3c33938c47c3568805bd3d928834bc495eea0834.jpg', 'checksum': '5138c3291ea77413a63ec75385dbbde6'}]","Arjun Kapoor is an Indian actor who appears in Bollywood films. The son of film producers Boney Kapoor and Mona Shourie Kapoor, he initially worked an assistant director on his father's productions No Entry (2005) and Wanted (2009). He made his acting debut through the 2012 action romance Ishaqzaade and subsequently appeared in several successful films, including the crime drama Gunday (2014), the coming-of-age romantic comedy 2 States (2014), the English-language road comedy Finding Fanny (2014), and the satire Ki & Ka (2016).",Arjun Kapoor
